Origin,originId,Destination,destinationId,carCost,coinCost
Emden,0,Gronigen,1,3,3
Emden,0,Emmen,2,4,4
Emden,0,Lingen,3,6,1
Gronigen,1,Waddeneilanden,4,6,4
Gronigen,1,Leeuwarden,5,3,2
Gronigen,1,Zwolle,6,6,4
Gronigen,1,Emmen,2,3,3
Gronigen,1,Emden,0,3,3
Emmen,2,Gronigen,1,3,3
Emmen,2,Zwolle,6,4,3
Emmen,2,Lingen,3,3,2
Emmen,2,Emden,0,4,4
Lingen,3,Emden,0,6,1
Lingen,3,Emmen,2,3,2
Lingen,3,Enschede,7,3,3
Waddeneilanden,4,Den_Helder,8,5,4
Waddeneilanden,4,Sneek,9,3,4
Waddeneilanden,4,Leeuwarden,5,2,3
Waddeneilanden,4,Gronigen,1,6,4
Leeuwarden,5,Waddeneilanden,4,2,3
Leeuwarden,5,Sneek,9,1,1
Leeuwarden,5,Gronigen,1,3,2
Zwolle,6,Lelystad,10,2,4
Zwolle,6,Arnhem,11,4,2
Zwolle,6,Enschede,7,4,1
Zwolle,6,Emmen,2,4,3
Zwolle,6,Gronigen,1,6,4
Enschede,7,Zwolle,6,4,1
Enschede,7,Arnhem,11,5,2
Enschede,7,Duisburg,12,6,1
Enschede,7,Lingen,3,3,3
Den_Helder,8,Haarlem,13,4,2
Den_Helder,8,Sneek,9,4,3
Den_Helder,8,Waddeneilanden,4,5,4
Sneek,9,Den_Helder,8,4,3
Sneek,9,Lelystad,10,4,3
Sneek,9,Leeuwarden,5,1,1
Sneek,9,Waddeneilanden,4,3,4
Lelystad,10,Amsterdam,14,3,3
Lelystad,10,Zwolle,6,2,4
Lelystad,10,Sneek,9,4,3
Arnhem,11,Utrecht,15,4,1
Arnhem,11,Nijmegen,16,1,3
Arnhem,11,Enschede,7,5,2
Arnhem,11,Zwolle,6,4,2
Duisburg,12,Nijmegen,16,4,2
Duisburg,12,Roermond,21,3,2
Duisburg,12,Enschede,7,6,1
Haarlem,13,s-Gravenhage,17,2,2
Haarlem,13,Amsterdam,14,1,1
Haarlem,13,Den_Helder,8,4,2
Amsterdam,14,Haarlem,13,1,1
Amsterdam,14,Rotterdam,18,4,2
Amsterdam,14,Utrecht,15,1,1
Amsterdam,14,Lelystad,10,3,3
Utrecht,15,Amsterdam,14,1,1
Utrecht,15,Rotterdam,18,3,3
Utrecht,15,s-Hertogenbosch,19,3,4
Utrecht,15,Arnhem,11,4,1
Nijmegen,16,Arnhem,11,1,3
Nijmegen,16,Eindhoven,20,3,3
Nijmegen,16,Duisburg,12,4,2
s-Gravenhage,17,Middelburg,22,6,4
s-Gravenhage,17,Rotterdam,18,1,1
s-Gravenhage,17,Haarlem,13,2,2
Rotterdam,18,Antwerpen,23,5,4
Rotterdam,18,Breda,24,2,4
Rotterdam,18,Utrecht,15,3,3
Rotterdam,18,Amsterdam,14,4,2
Rotterdam,18,s-Gravenhage,17,1,1
s-Hertogenbosch,19,Breda,24,2,2
s-Hertogenbosch,19,Eindhoven,20,2,2
s-Hertogenbosch,19,Utrecht,15,3,4
Eindhoven,20,s-Hertogenbosch,19,2,2
Eindhoven,20,Maastricht,25,4,2
Eindhoven,20,Roermond,21,3,3
Eindhoven,20,Nijmegen,16,3,3
Roermond,21,Eindhoven,20,3,3
Roermond,21,Maastricht,25,2,1
Roermond,21,Duisburg,12,3,2
Middelburg,22,Antwerpen,23,5,3
Middelburg,22,s-Gravenhage,17,6,4
Antwerpen,23,Middelburg,22,5,3
Antwerpen,23,Aarschet,26,2,1
Antwerpen,23,Turnhout,27,2,2
Antwerpen,23,Rotterdam,18,5,4
Breda,24,Rotterdam,18,2,4
Breda,24,Turnhout,27,2,2
Breda,24,s-Hertogenbosch,19,2,2
Maastricht,25,Eindhoven,20,4,2
Maastricht,25,Hasselt,29,2,2
Maastricht,25,Liege,28,2,1
Maastricht,25,Roermond,21,2,1
Aarschet,26,Antwerpen,23,2,1
Aarschet,26,Liege,28,5,1
Aarschet,26,Hasselt,29,2,1
Turnhout,27,Breda,24,2,2
Turnhout,27,Antwerpen,23,2,2
Turnhout,27,Hasselt,29,3,3
Liege,28,Aarschet,26,5,1
Liege,28,Maastricht,25,2,1
Liege,28,Hasselt,29,2,1
Hasselt,29,Turnhout,27,3,3
Hasselt,29,Aarschet,26,2,1
Hasselt,29,Liege,28,2,1
Hasselt,29,Maastricht,25,2,2
